pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0Gy_14d_1.raw.PG.Quantity,0Gy_14d_6.raw.PG.Quantity,0Gy_14d_6(2).raw.PG.Quantity,0Gy_14d_8.raw.PG.Quantity,0Gy_14d_9.raw.PG.Quantity,0Gy_14d_10.raw.PG.Quantity,0Gy_14d_10(2).raw.PG.Quantity,0.2Gy_11d_1.raw.PG.Quantity,0.2Gy_11d_4.raw.PG.Quantity,0.2Gy_11d_5.raw.PG.Quantity,0.2Gy_11d_8.raw.PG.Quantity,0.2Gy_11d_9.raw.PG.Quantity,0.2Gy_14d_1.raw.PG.Quantity,0.2Gy_14d_3.raw.PG.Quantity,0.2Gy_14d_4.raw.PG.Quantity,0.2Gy_14d_5.raw.PG.Quantity,0.2Gy_14d_7.raw.PG.Quantity,0.5Gy_11d_4.raw.PG.Quantity,0.5Gy_11d_5.raw.PG.Quantity,0.5Gy_11d_7.raw.PG.Quantity,0.5Gy_11d_8.raw.PG.Quantity,0.5Gy_11d_9.raw.PG.Quantity,0.5Gy_14d_1.raw.PG.Quantity,0.5Gy_14d_2.raw.PG.Quantity,0.5Gy_14d_3.raw.PG.Quantity,0.5Gy_14d_7.raw.PG.Quantity,0.5Gy_14d_8.raw.PG.Quantity,2Gy_11d_3.raw.PG.Quantity,2Gy_11d_5.raw.PG.Quantity,2Gy_11d_6.raw.PG.Quantity,2Gy_11d_7.raw.PG.Quantity,2Gy_11d_8.raw.PG.Quantity,2Gy_14d_2.raw.PG.Quantity,2Gy_14d_3.raw.PG.Quantity,2Gy_14d_4.raw.PG.Quantity,2Gy_14d_6.raw.PG.Quantity,2Gy_14d_9.raw.PG.Quantity
Igh-3,12262260,5169748,11441056,7981701.5,8210598,16413811,13606026,12261227,16321666,13155983,17460266,6920477.5,19026034,14643876,21123710,12737385,21585252,9026248,14395821,22538292,28310190,46283064,52538288,23128256,53284588,42776688,23890974,21705888,21393472,28676364,13780042,11397350,19811820,12891802,18498652,16144116,17962898,21695646,22300698,12593654,10870727,21258978,10287113,9456449,13091102,25918640,17906092,9486798,16889548
GCAB,2822886,1864856.5,3048673.5,3871786,2381389.25,5121291,3551856.75,3122173.5,3826281.25,2931918.25,3946085.5,1686879.375,6301231,6763524.5,7487933.5,6196289,5802288,2843361.25,3004298.25,31553268,41235304,30074750,24465444,28140686,20829690,24751412,14584080,11587484,14985050,8898154,5037294,3994429.25,6239558,4555038.5,8240926.5,6341243,4798043.5,7058067,6102272,2723091.25,1441734.25,6767701,2628037.5,2071478.5,2955868.25,6265454.5,5253246.5,2594169.75,7094782
KV3AD,342814.9688,124313.7578,185562.0781,230021.7969,115414.6641,465670.375,779846.25,308634.3438,394023.2813,185065.6875,226278.4063,63277.85547,612361.5,720752.9375,991373.75,172821.4375,222497.7813,207402.0469,409249.4688,4330771.5,3274944,4462992,2881666.75,3621413,2602811.25,2509863.5,1731329.375,1080568.625,1219142,289965.8125,173563.9844,134508.9688,402221.8125,307197.8438,395711.625,1795979.75,169806.125,628052.5,301344.875,362685.6875,127238.8438,1488230.625,178972.0156,208082.875,222056.1563,1429210.875,936294.375,112444.4453,521871.6563
KV3A1,1282048.375,1444713,1242699.25,1332144.75,767755.9375,2622615,2954796,1169311.375,1618745.75,1070900.875,1663018.25,749721.125,2606128.5,2017323.5,2641779.25,2306817,1498799,1583020.375,2378122.75,8222415.5,10251710,12821058,12029388,9516427,12425440,12740307,8466784,4059835.75,5886203,1819760.75,2589216,1535726.25,1731755.5,1176583.375,1816207.875,3446992.75,1307431.75,2340031.25,1570364.25,1338128.5,1767364.875,4253854,945630.1875,964580.625,1089174,3679636.75,2756570.75,1593618.875,2491536.75
KV3AJ;KV3AL,109999.8125,13405.23145,34011.48438,88097.99219,34244.97266,53064.30859,98643.18112,172748.3125,208394.4688,100847.6328,111174.4219,41610.73828,270463.6875,103366.4375,100672.8281,180776.2344,17739.69922,36315.81641,118222.4505,233476.9219,252491.7969,248322.2656,413451.625,323652.3125,328517.0625,311843.5625,211986,291003.9375,268910.2188,62721.62109,117911.3828,30271.61523,112170.1328,31514.12305,182498.0938,165371.375,85821.83594,138009.2969,157860,207908.75,61215.25781,61069.375,95576.33594,29698.54297,680252.3125,23095.24609,58801.76172,245273.1094,144405.7969
Gm5629,270187.5625,47547.54688,65309.49609,64641.67578,46698.34375,139148.5,52690.8125,130099.0547,172315.1406,205801.25,220388.3438,23107.07031,187504.9219,44314.53125,77771.39063,86850,96363.66406,87080.88281,141472.1406,1058411.5,875423.9375,873092.25,742739.1875,911134.375,361753.7813,676437.3125,566014.75,306529.4063,294991.9063,87431.92188,127121.9219,78088.17969,157362.1563,91968.60938,213543.4844,84860.96094,82702.49219,253743.7656,305123.4688,97280.69531,199362.8281,154946.875,106507.3572,69880.99219,101881.4688,65557.20313,116994.4609,40900.27734,111761.4141
