pro_name
KV3AD
HVM57
Gm5629
Ighv3-6
HVM36;HVM37;HVM38
Igk-V19-17
Igkc
GCAB
HVM02;HVM03
IGHG3
HVM16
HVM27;HVM28;HVM30;HVM32
KV2A7
Ighv1-72;Ighv1-62-3
KV5AE
KV5AC
KV6A6;KV6A7;KV6A8;KV6A9;KV6AA
KV2A5
KV3AA
Igh-3
KV3A1
KV3AJ;KV3AL
HVM54
KV3A4
Ighv1-61
