pro_name
Csf1r
Timp3
Gp5
Treml1
Il2rg
Pf4
Pfn1
Vcam1
Thbs1
Tfrc
Sell
Serpine2
Vwf
Gp1ba
Cd44
Mmrn1
Cd97
Lifr
Igfbp2
Lyz2
